"","placement","Manual.Placement","acm_id","Math.Confidence","Ed_HS","Ed_SomeCol","Ed_Col","HasTutored","SpanishAble","Lang_Other","Male","Other.Gender","Race.Ethnicity.Hispanic","Race.Ethnicity.Asian","Race.Ethnicity.White","Race.Ethnicity.Black","Birth.Date","days_old","Manual.Placement_id","School","size","span","% Hispanic","Address","nhood","HSGrad_tgt","SomeCol_tgt","TutExp","SpanishNeed","OtherLang_tgt","Math_tgt","Male_tgt","AA_tgt","acm_dest_id","time"
"28",4,NA,"95",0,0,0,1,0,0,0,0,0,0,0,1,0,"02/15/1994",8519,NA,"93rd Street ES",12,"Elementary",0.874074074074074,"330 E. 93rd St, Los Angeles, CA 90003","W",0.511627906976744,0.697674418604651,0.697674418604651,2.38539610102529,0.511627906976744,3.62790697674419,2.74418604651163,1,"95 - 4",0
"29",4,NA,"78",1,0,0,1,0,1,0,0,0,0,0,0,0,"06/25/1995",8024,NA,"93rd Street ES",12,"Elementary",0.874074074074074,"330 E. 93rd St, Los Angeles, CA 90003","W",0.511627906976744,0.697674418604651,0.697674418604651,2.38539610102529,0.511627906976744,3.62790697674419,2.74418604651163,1,"78 - 4",16.3333333333333
"30",4,"93rd Street ES","322",1,0,0,1,0,0,0,1,0,1,0,0,0,"03/14/1994",8492,4,"93rd Street ES",12,"Elementary",0.874074074074074,"330 E. 93rd St, Los Angeles, CA 90003","W",0.511627906976744,0.697674418604651,0.697674418604651,2.38539610102529,0.511627906976744,3.62790697674419,2.74418604651163,1,"322 - 4",0
"31",4,NA,"9",0,0,0,1,0,0,0,0,0,1,0,0,0,"10/30/1995",7897,NA,"93rd Street ES",12,"Elementary",0.874074074074074,"330 E. 93rd St, Los Angeles, CA 90003","W",0.511627906976744,0.697674418604651,0.697674418604651,2.38539610102529,0.511627906976744,3.62790697674419,2.74418604651163,1,"9 - 4",0
"32",4,NA,"154",1,0,1,0,0,0,0,0,0,0,0,0,1,"06/06/1995",8043,NA,"93rd Street ES",12,"Elementary",0.874074074074074,"330 E. 93rd St, Los Angeles, CA 90003","W",0.511627906976744,0.697674418604651,0.697674418604651,2.38539610102529,0.511627906976744,3.62790697674419,2.74418604651163,1,"154 - 4",0
"33",4,NA,"13",1,0,0,1,0,0,0,1,0,0,1,0,0,"10/18/1995",7909,NA,"93rd Street ES",12,"Elementary",0.874074074074074,"330 E. 93rd St, Los Angeles, CA 90003","W",0.511627906976744,0.697674418604651,0.697674418604651,2.38539610102529,0.511627906976744,3.62790697674419,2.74418604651163,1,"13 - 4",0
"34",4,NA,"400",0,0,0,1,0,0,0,0,0,1,0,0,0,"09/06/1995",7951,NA,"93rd Street ES",12,"Elementary",0.874074074074074,"330 E. 93rd St, Los Angeles, CA 90003","W",0.511627906976744,0.697674418604651,0.697674418604651,2.38539610102529,0.511627906976744,3.62790697674419,2.74418604651163,1,"400 - 4",0
"35",4,"93rd Street ES","323",1,0,0,1,0,0,0,0,0,0,0,1,0,"07/11/1995",8008,4,"93rd Street ES",12,"Elementary",0.874074074074074,"330 E. 93rd St, Los Angeles, CA 90003","W",0.511627906976744,0.697674418604651,0.697674418604651,2.38539610102529,0.511627906976744,3.62790697674419,2.74418604651163,1,"323 - 4",0
"36",4,"93rd Street ES","375",1,0,1,0,1,1,0,1,0,1,0,0,0,"11/04/1994",8257,4,"93rd Street ES",12,"Elementary",0.874074074074074,"330 E. 93rd St, Los Angeles, CA 90003","W",0.511627906976744,0.697674418604651,0.697674418604651,2.38539610102529,0.511627906976744,3.62790697674419,2.74418604651163,1,"375 - 4",0
"37",4,NA,"4",1,0,0,1,0,1,0,0,0,1,0,0,0,"01/06/1996",7829,NA,"93rd Street ES",12,"Elementary",0.874074074074074,"330 E. 93rd St, Los Angeles, CA 90003","W",0.511627906976744,0.697674418604651,0.697674418604651,2.38539610102529,0.511627906976744,3.62790697674419,2.74418604651163,1,"4 - 4",8.95
"38",4,NA,"396",0,0,0,1,0,0,0,0,0,1,0,0,0,"12/17/1994",8214,NA,"93rd Street ES",12,"Elementary",0.874074074074074,"330 E. 93rd St, Los Angeles, CA 90003","W",0.511627906976744,0.697674418604651,0.697674418604651,2.38539610102529,0.511627906976744,3.62790697674419,2.74418604651163,1,"396 - 4",0
"39",5,NA,"93",1,0,0,1,0,0,0,0,0,0,0,1,0,"07/24/1994",8360,NA,"Belmont High School",4,"High",0.833876221498371,"1575 W 2nd. ST, Los Angeles, CA 90026","PUW",0,0.232558139534884,0.232558139534884,1.97127815907914,0.170542635658915,2.41860465116279,0.914728682170543,0,"93 - 5",0
"40",5,NA,"121",1,0,0,1,0,0,0,1,0,0,1,0,0,"01/08/1995",8192,NA,"Belmont High School",4,"High",0.833876221498371,"1575 W 2nd. ST, Los Angeles, CA 90026","PUW",0,0.232558139534884,0.232558139534884,1.97127815907914,0.170542635658915,2.41860465116279,0.914728682170543,0,"121 - 5",0
"41",5,"Belmont High School","358",1,0,0,1,0,0,0,0,0,1,0,0,0,"05/02/1992",9173,5,"Belmont High School",4,"High",0.833876221498371,"1575 W 2nd. ST, Los Angeles, CA 90026","PUW",0,0.232558139534884,0.232558139534884,1.97127815907914,0.170542635658915,2.41860465116279,0.914728682170543,0,"358 - 5",0
"42",5,"Belmont High School","329",1,0,0,1,0,1,0,0,0,0,0,1,0,"11/22/1993",8604,5,"Belmont High School",4,"High",0.833876221498371,"1575 W 2nd. ST, Los Angeles, CA 90026","PUW",0,0.232558139534884,0.232558139534884,1.97127815907914,0.170542635658915,2.41860465116279,0.914728682170543,0,"329 - 5",0
"43",6,NA,"90",1,0,0,1,0,0,0,0,0,0,0,0,0,"02/07/1995",8162,NA,"Carver MS",8,"Middle",0.899305555555556,"4410 McKinley Ave Los Angeles, CA 90011","SLA",0.341085271317829,0.465116279069767,0.465116279069767,2.59888302327502,0.341085271317829,3.62790697674419,1.82945736434109,0,"90 - 6",0
"44",6,NA,"15",1,1,0,0,0,1,0,1,0,0,0,1,0,"04/02/1998",7012,NA,"Carver MS",8,"Middle",0.899305555555556,"4410 McKinley Ave Los Angeles, CA 90011","SLA",0.341085271317829,0.465116279069767,0.465116279069767,2.59888302327502,0.341085271317829,3.62790697674419,1.82945736434109,0,"15 - 6",0
"45",6,NA,"44",1,0,0,1,0,0,0,0,0,0,1,0,0,"09/09/1995",7948,NA,"Carver MS",8,"Middle",0.899305555555556,"4410 McKinley Ave Los Angeles, CA 90011","SLA",0.341085271317829,0.465116279069767,0.465116279069767,2.59888302327502,0.341085271317829,3.62790697674419,1.82945736434109,0,"44 - 6",0
"46",6,NA,"158",0,0,0,1,0,0,0,0,0,0,0,0,1,"09/16/1995",7941,NA,"Carver MS",8,"Middle",0.899305555555556,"4410 McKinley Ave Los Angeles, CA 90011","SLA",0.341085271317829,0.465116279069767,0.465116279069767,2.59888302327502,0.341085271317829,3.62790697674419,1.82945736434109,0,"158 - 6",0
"47",6,"Carver MS","332",1,0,0,1,1,0,0,0,0,1,0,0,0,"12/10/1992",8951,6,"Carver MS",8,"Middle",0.899305555555556,"4410 McKinley Ave Los Angeles, CA 90011","SLA",0.341085271317829,0.465116279069767,0.465116279069767,2.59888302327502,0.341085271317829,3.62790697674419,1.82945736434109,0,"332 - 6",0
"48",6,NA,"55",0,0,0,1,0,0,0,0,0,0,0,0,0,"04/18/1995",8092,NA,"Carver MS",8,"Middle",0.899305555555556,"4410 McKinley Ave Los Angeles, CA 90011","SLA",0.341085271317829,0.465116279069767,0.465116279069767,2.59888302327502,0.341085271317829,3.62790697674419,1.82945736434109,0,"55 - 6",0
"49",6,"Carver MS","333",1,0,0,1,0,1,0,0,0,1,0,0,0,"01/22/1994",8543,6,"Carver MS",8,"Middle",0.899305555555556,"4410 McKinley Ave Los Angeles, CA 90011","SLA",0.341085271317829,0.465116279069767,0.465116279069767,2.59888302327502,0.341085271317829,3.62790697674419,1.82945736434109,0,"333 - 6",0
"50",6,"Carver MS","331",1,0,0,1,0,1,0,0,0,1,0,0,0,"11/12/1994",8249,6,"Carver MS",8,"Middle",0.899305555555556,"4410 McKinley Ave Los Angeles, CA 90011","SLA",0.341085271317829,0.465116279069767,0.465116279069767,2.59888302327502,0.341085271317829,3.62790697674419,1.82945736434109,0,"331 - 6",0
"51",8,"Clinton MS","335",1,0,0,1,1,1,0,1,0,1,0,0,0,"03/02/1994",8504,8,"Clinton MS",14,"Middle",0.934840425531915,"3500 S. Hill St., Los Angeles, CA 90007","SLA",0.596899224806202,0.813953488372093,0.813953488372093,2.85764971810823,0.596899224806202,6.34883720930233,3.2015503875969,0,"335 - 8",0
"52",8,"Clinton MS","336",0,0,0,1,0,0,0,0,0,1,0,0,0,"04/12/1993",8828,8,"Clinton MS",14,"Middle",0.934840425531915,"3500 S. Hill St., Los Angeles, CA 90007","SLA",0.596899224806202,0.813953488372093,0.813953488372093,2.85764971810823,0.596899224806202,6.34883720930233,3.2015503875969,0,"336 - 8",0
"53",8,NA,"9003",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,"Clinton MS",14,"Middle",0.934840425531915,"3500 S. Hill St., Los Angeles, CA 90007","SLA",0.596899224806202,0.813953488372093,0.813953488372093,2.85764971810823,0.596899224806202,6.34883720930233,3.2015503875969,0,"9003 - 8",0
